النشاط الاقتصادي,المحافظة,الولاية,عدد_المرات
إدارة وتأجير العقارات المملوكة أو المؤجرة (السكنية وغير السكنية),ظفار,صلالة,1.0
إدارة المباني الحكومية (المملوكة أو المؤجرة),ظفار,صلالة,1.0
أنشطة أخرى خاصة بالأنشطة العقارية على أساس رسوم أو عقود,ظفار,صلالة,1.0
تثمين الممتلكات,ظفار,صلالة,1.0
أنشطة أخرى خاصة بالأنشطة العقارية فى الممتلكات المملوكة أو المؤجرة,ظفار,صلالة,1.0
أنشطة إصدار الحوالات والشيكات المالية,ظفار,صلالة,
تسويق اوراق مالية غير عمانية,ظفار,صلالة,
سمسار تأمين,ظفار,صلالة,
نشاط وساطة في الأوراق المالية للآخرين,ظفار,صلالة,
إدارة الاستثمار,ظفار,صلالة,
وكيل تأمين بالعمولة,ظفار,صلالة,
أنشطة التمويل بالتقسيط,ظفار,صلالة,
أنشطة الخدمات المالية الأخرى، بإستثناء تمويل التأمين والمعاشات التقاعدية غير المصنفة في موضع آخر,ظفار,صلالة,
تقييم المخاطر والأضرار,ظفار,صلالة,
أنشطة استثمار الأموال والأوراق المالية (أسهم وسندات),ظفار,صلالة,
تأمين وإصدار السندات بكافة أنواعها للشركات أو المصارف أو المؤسسات المالية غير المصرفية,ظفار,صلالة,
صانع السوق,ظفار,صلالة,
التأمين على الحياة,ظفار,صلالة,
استبدال العملات (محلات الصرافة),ظفار,صلالة,
إدارة وتشغيل الأسواق المالية,ظفار,صلالة,
أنشطة تقديم الإستشارات والأبحاث المالية,ظفار,صلالة,
المصارف المركزية,ظفار,صلالة,
التأمين، بخلاف التأمين على الحياة,ظفار,صلالة,
تأمين ائتمان ذمم تجارية للمبيعات المحلية، الصادرات، والواردات,ظفار,صلالة,
إدارة صناديق الاستثمار,ظفار,صلالة,
إدارة الائتمان والعقارات الخاصة,ظفار,صلالة,
أنشطة تخطيط وتصميم المناظر الطبيعية,ظفار,صلالة,
أنشطة تصميم الديكور الداخلي,ظفار,صلالة,
ترويج وتسويق البضائع,ظفار,صلالة,
مكتب إداري,ظفار,صلالة,
الإستشارات الإدارية,ظفار,صلالة,
مكاتب الاستشارية الخاصة بجهات تقييم المطابقة,ظفار,صلالة,
خدمات الترجمة,ظفار,صلالة,
أنشطة استوديوهات ومعامل التصوير,ظفار,صلالة,
أنشطة الرسم على الزجاج واللوائح,ظفار,صلالة,
أنشطة التصميم على الشاشات,ظفار,صلالة,
أنشطة تصميم الملابس,ظفار,صلالة,
فحص ومعايرة الاجهزة والمعدات والمواد تامة الصنع,ظفار,صلالة,
أبحاث السوق واستطلاعات الرأي العام,ظفار,صلالة,
مكاتب الإستشارات الهندسية المعمارية والمدنية,ظفار,صلالة,
مؤسسات ووكالات الدعاية والإعلان,ظفار,صلالة,
اختبار الأداء للآلات تامة الصنع,ظفار,صلالة,
أنشطة السمسرة التجارية,ظفار,صلالة,
عيادة بيطرية,ظفار,صلالة,
مختبر للفحوص والاختبار (مطابقة المواصفات),ظفار,صلالة,
إستشارات في مجال الاستزراع السمكي,ظفار,صلالة,
مكاتب الإستشارات الهندسية المدنية,ظفار,صلالة,
مكاتب الإستشارات الهندسية المعمارية,ظفار,صلالة,
التطوير العقاري,ظفار,صلالة,
استشارات هندسة السلامة والوقاية من الحرائق,ظفار,صلالة,
مكاتب المراجعة وتدقيق الحسابات,ظفار,صلالة,
الخدمات المساحية والكمية,ظفار,صلالة,
أنشطة أخرى خاصة بالأنشطة المهنية والعلمية والتقنية الأخرى غير المصنفة فى موضع آخر,ظفار,صلالة,
استشارات سياحية,ظفار,صلالة,
استشارات الهندسة الميكانيكية,ظفار,صلالة,
استشارات ادارة المشاريع,ظفار,صلالة,
مكاتب الاستشارات القانونية,ظفار,صلالة,
إستشارات اعلامية,ظفار,صلالة,
المختبرات الزراعية,ظفار,صلالة,
خدمات الترويج والتسويق عبر مواقع التواصل الإجتماعي,ظفار,صلالة,
تقييم وتثمين الموجودات والممتلكات (لا تشمل الممتلكات العقارية أو تقدير الخسائر للتأمين),ظفار,صلالة,
أستشارات التمويل والاستثمار,ظفار,صلالة,
استشارات في مجال الطاقة الشمسية,ظفار,صلالة,
استشارات هندسة البيئية,ظفار,صلالة,
خدمات ادارة الطاقة الكهربائية,ظفار,صلالة,
استشارات هندسة المدن والتخطيط المعماري والحضري,ظفار,صلالة,
مكاتب الهندسة المعمارية والمدنية,ظفار,صلالة,
إستشارات بيئية,ظفار,صلالة,
أنشطة الخبراء الاستشاريين (غير الإستشارات المعمارية والهندسية والإستشارات الخاصة بالإدارة),ظفار,صلالة,
الأستشارات الهندسة الكميائية,ظفار,صلالة,
مراجعة الفواتير (الكمبيالات) والمعلومات المتعلقة بفئة الشحن,ظفار,صلالة,
مكاتب الإستشارات المالية,ظفار,صلالة,
مكاتب المحاماة والإستشارات القانونية,ظفار,صلالة,
اختبار وقياس المؤشرات البيئية,ظفار,صلالة,
إستشارات اقتصادية,ظفار,صلالة,
مكاتب التفتيش طبقا للمواصفة القياسية الدولية ايزو,ظفار,صلالة,
التصميم الصناعي,ظفار,صلالة,
إستشارات جيولوجية,ظفار,صلالة,
البحث والتطوير التجريبي في مجال العلوم الاجتماعية والإنسانية,ظفار,صلالة,
إستشارات هندسية زراعية,ظفار,صلالة,
استشارات التصميم الجرافيكي,ظفار,صلالة,
استشارات في مجال نظم المعلومات الجغرافية,ظفار,صلالة,
استشارات هندسة صناعية,ظفار,صلالة,
تسويق النصوص المقروئة والسمعية,ظفار,صلالة,
استشارات الصحة والسلامة المهنية,ظفار,صلالة,
استشارات هندسة التعدين,ظفار,صلالة,
إستشارات في مجال مسح الكميات,ظفار,صلالة,
إستشارات هندسة النفط والغاز والبتروكيماويات,ظفار,صلالة,
إستشارات موارد بشرية,ظفار,صلالة,
المكاتب الهندسية والتقنية المتعلقة بالأنشطة التخصصية لجميع فروع الهندسة,ظفار,صلالة,
مقاولات البناء والتشييد (إنشاءات عامة للمباني السكنية والغير سكنية),ظفار,صلالة,
تمديد وصيانة الأنابيب بكافة أنواعها,ظفار,صلالة,
تركيب الجبس (أحجار الزينة),ظفار,صلالة,
أعمال الأساسات وهياكل الإنشاءات وأعمال الخرسانة ورص الطابوق ووضع الأحجار والسقالات وتغطية السقوف وغيرها,ظفار,صلالة,
تركيب الألواح الزجاجية,ظفار,صلالة,
مقاولات إنشاء الطرق (تشمل الشوارع والجسور والأنفاق),ظفار,صلالة,
أعمال تنفيذ التصميم الداخلي (التجصيص والطلاء والتزيين),ظفار,صلالة,
مقاولات إنشاء شبكات ومحطات المياه والكهرباء والهاتف,ظفار,صلالة,
أعمال الحفر وردم الأراضي وتسويتها,ظفار,صلالة,
تركيب الأثاث,ظفار,صلالة,
تأجير الرافعات التي يشغلها عامل,ظفار,صلالة,
تفجير الصخور لإعداد المواقع,ظفار,صلالة,
تركيب وإصلاح نظم مرشحات ومقاومة الحريق,ظفار,صلالة,
تركيب أعمال العزل (مياه، حرارة، صوت),ظفار,صلالة,
تغطية الأرضيات والجدران بالبلاط أو الباركيه أو الرخام أو السيراميك أو الموزاييك,ظفار,صلالة,
مقاولات إنشاء شبكات ومحطات الصرف الصحي,ظفار,صلالة,
تركيب وإصلاح نظم التدفئة وتكييف الهواء,ظفار,صلالة,
تأجير معدات البناء او الهدم التي يشغلها عامل,ظفار,صلالة,
أنشطة أخرى خاصة بتشييد المباني,ظفار,صلالة,
تركيب الأبواب والنوافذ,ظفار,صلالة,
إعداد مواقع لأعمال التعدين,ظفار,صلالة,
إنشاء حمامات السباحة الخارجية,ظفار,صلالة,
حفر آبار الماء,ظفار,صلالة,
إصلاح وصيانة الآبار والأفلاج,ظفار,صلالة,
تركيب وإصلاح الأدوات الصحية,ظفار,صلالة,
تركيب نظم إنذار الحريق والسرقة,ظفار,صلالة,
تشغيل وصيانة محطات الطاقة ومحطات تحلية المياه,ظفار,صلالة,
إنشاء وإصلاح المطارات والمرافئ,ظفار,صلالة,
تمديد وصيانة شبكات الغاز للمباني,ظفار,صلالة,
التنظيف بالبخار والسفع بالرمال وغير ذلك من الأنشطة التي تجري على المباني من الخارج,ظفار,صلالة,
تركيب معدات الفنادق والمطاعم والمطابخ,ظفار,صلالة,
تركيب وإصلاح المصاعد والسلالم المتحركة,ظفار,صلالة,
إقامة وإصلاح محطات الطاقة الكهربائية والمحولات ومحطات الإتصالات السلكية واللاسلكية والرادار,ظفار,صلالة,
إنشاء كاسرات للأمواج والحمايات للأرصفة,ظفار,صلالة,
مقاولات تركيبات الأبنية,ظفار,صلالة,
التعدين واستغلال المحاجر للحصول على الأسفلت والقار والأسفلتيت والحجر الأسفلتي والبيتومين الصلب الطبيعي,ظفار,صلالة,
أنشطة أخرى خاصة بأنشطة التعدين واستغلال المحاجر غير المصنفة في موضع آخر,ظفار,صلالة,
تعدين الجبس والأنهيدريت,ظفار,صلالة,
استخراج النفط الخام,ظفار,صلالة,
تشغيل المحاجر,ظفار,صلالة,
الخدمات المتصلة باستخراج النفط والغاز بإستثناء خدمات المسح,ظفار,صلالة,
جرش الملح وتنقيته وتكريره,ظفار,صلالة,
تشغيل مناجم الرمال أو الحصباء، بما في ذلك استخراج وتجريف الرمال الصناعية ورمال الإنشاءات والحصباء وتكسير وجرش الأحجار والحصباء (الكسارات),ظفار,صلالة,
أنشطة التنقيب عن حقول النفط والغاز,ظفار,صلالة,
استخراج الأسمدة الطبيعية,ظفار,صلالة,
استخراج الغاز الطبيعي,ظفار,صلالة,
انتاج محسنات التربة الزراعية,ظفار,صلالة,
حفر آبار النفط والغاز الطبيعي,ظفار,صلالة,
التعدين واستغلال المحاجر للحصول على الأحجار الكريمة والكوارتز والميكا,ظفار,صلالة,
أنشطة دعم خاصة بتعدين المعادن الكيميائية ومعادن الأسمدة,ظفار,صلالة,
انتاج الملح بتبخير مياه البحر أو المياه المالحة,ظفار,صلالة,
رياض الأطفال,ظفار,صلالة,
مراكز التدريب المهني,ظفار,صلالة,
معاهد تعليم اللغات والحاسب الآلي,ظفار,صلالة,
خدمات التدريب,ظفار,صلالة,
تعليم قيادة السيارات,ظفار,صلالة,
التعليم الأساسي (المرحلة الأولى),ظفار,صلالة,
معاهد التدريب الإداري (تنمية الموارد البشرية),ظفار,صلالة,
مدارس تحفيظ القرآن,ظفار,صلالة,
التدريب على الغوص,ظفار,صلالة,
تعليم الفنون الجميلة,ظفار,صلالة,
التعليم الأساسي (المرحلة الثانية),ظفار,صلالة,
خدمات زراعية متعددة,ظفار,صلالة,
انتاج وتعبئة المياه المعدنية,ظفار,صلالة,
تربية النحل وانتاج العسل وشمع العسل,ظفار,صلالة,
زراعة الحبوب (قمح، ذرة، شعير … إلخ)، بإستثناء الأرز,ظفار,صلالة,
زراعة البذور الزيتية,ظفار,صلالة,
جمع اللبان,ظفار,صلالة,
زراعة النباتات الحية لأغراض الغرس والزينة والشتلات (المشاتل),ظفار,صلالة,
خدمات إستصلاح الأراضي للأغراض الزراعية,ظفار,صلالة,
تفصيل وخياطة الملابس الطبية,ظفار,صلالة,
زراعة المحاصيل العطرية,ظفار,صلالة,
تربية الماشية والجاموس,ظفار,صلالة,
تركيب البيوت الزراعية,ظفار,صلالة,
مزارع انتاجية للخضروات,ظفار,صلالة,
زراعة النباتات العطرية والزهور (الأزهار وبراعم الازهار)، بذور الأزهار,ظفار,صلالة,
تربية الجمال والحيوانات الجملية,ظفار,صلالة,
صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,ظفار,صلالة,
تربية الدواجن,ظفار,صلالة,
الزراعة المختلطة بتربية الحيوان,ظفار,صلالة,
صيد الأسماك البحرية,ظفار,صلالة,
أنشطة أخرى خاصة بزراعة الخضر والبطيخيات والجذور والدرنات,ظفار,صلالة,
تشغيل أحواض تفريخ الأسماك البحرية,ظفار,صلالة,
انتاج البيض,ظفار,صلالة,
زراعة محاصيل القهوة والشاي والكاكاو وغيرها من محاصيل المشروبات,ظفار,صلالة,
تأجير المعدات الزراعية التي يشغلها عامل,ظفار,صلالة,
زراعة جوز الهند,ظفار,صلالة,
مشروعات الري (تشغيل نظم الري للمشروعات الزراعية),ظفار,صلالة,
تربية الضأن والماعز,ظفار,صلالة,
زراعة الأعلاف كالبرسيم وغيره من أعلاف الحيوانات,ظفار,صلالة,
تربية الخيول والحيوانات الخيلية الأخرى,ظفار,صلالة,
جمع الفطر والكمأ,ظفار,صلالة,
زراعة النخيل وانتاج التمور,ظفار,صلالة,
صنع مشروبات الشعير غير الكحولية,ظفار,صلالة,
زراعة المحاصيل الدائمة الأخرى,ظفار,صلالة,
الإستزراع السمكي البحري,ظفار,صلالة,
قص وتفصيل المفروشات والأصناف المحشوة والأغطية المنزلية مثل الملاءات، أكياس الوسائد، المفارش، الألحفة، الوسائد، وأكياس النوم للرحلات وأنواع البياضات الأخرى .. إلخ,ظفار,صلالة,
تفصيل وخياطة الملابس النسائية العربية وغير العربية,ظفار,صلالة,
مخبز يدوي (تنور),ظفار,صلالة,
إصلاح وصيانة معدات الإشعاع والمعدات الكهربائية والإلكترونية المستخدمة في الأغراض الطبية,ظفار,صلالة,
صنع منتجات خشبية متنوعة (ورش نجارة),ظفار,صلالة,
تفصيل وخياطة وحياكة الملابس الرجالية العربية (محلات تفصيل خياطة الملابس الرجالية),ظفار,صلالة,
صنع وتركيب المنتجات المعدنية المصنوعة من أجزاء في الوحدة ذاتها والمستخدمة في البناء والتشييد مثل النوافذ والأبواب والسلالم والمظلات وأشغال معدنية مماثلة (ورش الحدادة),ظفار,صلالة,
صناعة معدات نقل القوى الميكانيكية من أي مادة (أعمدة، أذرعه،  كراسي، تروس ... الخ)، للتدوير والتعشيق ونقل الحركة,ظفار,صلالة,
قص وتفصيل الستائر,ظفار,صلالة,
صنع الحلويات السكرية,ظفار,صلالة,
طحن الذرة المنداه,ظفار,صلالة,
صنع المنتجات الحرفية من الفخار والخزف,ظفار,صلالة,
خلط الشاي وتعبئته,ظفار,صلالة,
الطباعة بإستخدام الآلات الناسخة والحاسب الآلي والآلات المكتبية الأخرى مثل ناسخات الصور أو الناسخات الحرارية,ظفار,صلالة,
صنع أدوات الحدادة والمناجل والقمط ومواقد اللحام ... إلخ,ظفار,صلالة,
قص وتفصيل الخيام والأشرعة والشالات وأغطية السيارات والأثاث والآلات والبضائع . إلخ,ظفار,صلالة,
صنع المواد اللاصقة أو مركبات الجلفطة أو المستحضرات غير الحرارية المماثلة المستخدمة في الحشو أو تسوية السطوح,ظفار,صلالة,
ورش الألمنيوم,ظفار,صلالة,
صنع أنواع الأختام، أشرطة للآلات الكاتبة، أدوات ولوازم الفنانين التشكيليين,ظفار,صلالة,
صنع الطابوق الأسمنتي المفرغ والآجار,ظفار,صلالة,
إصلاح وصيانة المضخات والضواغط والحنفيات والصمامات,ظفار,صلالة,
صنع الأثاث من الألمنيوم والمعادن الأخرى للمنازل والفنادق والمطاعم والمكاتب ... إلخ,ظفار,صلالة,
صنع وتجهيز البخور,ظفار,صلالة,
صنع أجهزة مكبرات الصوت وملحقاتها,ظفار,صلالة,
صنع قوارب وزوارق الصيد والسفن المشتملة على مصانع تجهيز الأسماك,ظفار,صلالة,
خراطة المعادن,ظفار,صلالة,
قطع وتشكيل وتجهيز الأحجار للإستخدام في البناء والتشييد والطرق ... إلخ,ظفار,صلالة,
تفصيل وخياطة العبايات النسائية,ظفار,صلالة,
صنع الحلي والمجوهرات من المعادن الثمينة أو من الأحجار الكريمة (تشمل صياغة الذهب والفضة),ظفار,صلالة,
صنع الفطائر بأنواعها,ظفار,صلالة,
تشغيل المسالخ (ذبح وتهيئة لحوم المواشي),ظفار,صلالة,
إصلاح أو تجديد الآلات الموسيقية كالأورغ وسائر الآلات الموسيقية التاريخية,ظفار,صلالة,
صنع البلاستيك (اللدائن) في أشكالها الأولية,ظفار,صلالة,
التطريز اليدوي والجاكار,ظفار,صلالة,
صنع أوعية التغليف الأخرى (علب حفظ الملفات، أغلفة الاسطوانات ... إلخ),ظفار,صلالة,
صنع ألواح وقضبان وصفائح وشرائح وأشكال خاصة، من المطاط,ظفار,صلالة,
صنع الزيوت الأساسية وتعديل الزيوت والدهون كيمائيا مثل: البلمرة والأكسدة,ظفار,صلالة,
صنع الأثاث من الخشب للمنازل والفنادق والمكاتب والمحلات التجارية ... إلخ,ظفار,صلالة,
صنع المنتجات الحرفية من الجلد,ظفار,صلالة,
تفصيل وخياطة وحياكة الملابس الرجالية غير العربية,ظفار,صلالة,
صنع الخبز ومنتجاته,ظفار,صلالة,
أنشطة أخرى خاصة بصنع اللُباب والورق والورق المقوى,ظفار,صلالة,
نسخ المفاتيح,ظفار,صلالة,
صنع الأسلحة والذخائر,ظفار,صلالة,
صنع البلاط والموازيكو الإسمنتي بكافة أصنافه,ظفار,صلالة,
حفظ الأسماك والمنتجات السمكية والأحياء المائية الأخرى عن طريق التبريد أو التجميد,ظفار,صلالة,
صنع الأسمنت بكافة أنواعه,ظفار,صلالة,
صنع الدقيق والعجين للمخابز,ظفار,صلالة,
صنع المنتجات الحرفية لمستحضرات التجميل والعطور,ظفار,صلالة,
صنع الغازات الصناعية والهواء المسال أو المضغوط، الاستيلين، غازات التبريد، الغازات الصناعية المخلوطة، والغازات الخاملة والغازات العازلة,ظفار,صلالة,
قطع ونشر الرخام,ظفار,صلالة,
ذبح وتهيئة الدواجن والأرانب والطيور,ظفار,صلالة,
تجفيف وتعبئة التمور والعنب والتين وصنع منتجاتها,ظفار,صلالة,
صنع زكائب وأكياس ورقية,ظفار,صلالة,
صنع مستحضرات التجميل، ومستحضرات العناية باليدين والأرجل ... إلخ,ظفار,صلالة,
انتاج الروب (الزبادي)، القشدة، الزبدة، السمن ... إلخ,ظفار,صلالة,
صنع منتجات أفران الكوك,ظفار,صلالة,
إصلاح وصيانة السفن,ظفار,صلالة,
صنع العلامات التجارية، حاشية الزخرفة والأصناف المماثلة من المواد النسيجية,ظفار,صلالة,
استبدال الأسطح الخارجية للإطارات الهوائية المستعملة,ظفار,صلالة,
تبريد وتجميد اللحوم,ظفار,صلالة,
تنجيد الأثاث مثل: المراتب، المجالس العربية، المجالس الإفرنجية ... إلخ,ظفار,صلالة,
صنع اليوريا سلفات والفوسفات الطبيعي الخام وأملاح البوتاسيوم الطبيعية الخام (تشمل الأسمدة العضوية),ظفار,صلالة,
صنع المتفجرات والمنتجات النارية (مشعلات اللهب) وصمامات التفجير والألعاب النارية,ظفار,صلالة,
تجهيز وبسترة وتعبئة الحليب واللبن الطازج,ظفار,صلالة,
استنساخ برامج الحاسب الآلي الجاهزة,ظفار,صلالة,
تبريد وتجميد الفواكه والخضراوات,ظفار,صلالة,
إصلاح وصيانة الصهاريج والخزانات والأوعية المعدنية,ظفار,صلالة,
صنع منتجات معدنية تامة وشبه تامة الصنع بالطرق، أو الكبس، أو السبك والدلفنة,ظفار,صلالة,
صنع أنواع الأحذية الرجالية والنسائية وأحذية الأطفال الجلدية,ظفار,صلالة,
مطابع غير متخصصة,ظفار,صلالة,
تعبئة الزيوت والدهون النباتية بعد تكريره,ظفار,صلالة,
إصلاح قوارب وزوارق الصيد,ظفار,صلالة,
إصلاح وصيانة معدات الإضاءة الكهربائية,ظفار,صلالة,
صنع اليخوت والقوارب,ظفار,صلالة,
غزل وتحضير القطن أو الصوف,ظفار,صلالة,
تشييد المنشآت العائمة مثل: الحفارات، العوامات، أرصفة الحفر، الخزانات ... إلخ,ظفار,صلالة,
صنع المواد الكيميائية المستخدمة في صنع المستحضرات الصيدلانية مثل المضادات الحيوية، الأمصال، الفيتامينات، المنتجات الهرمونية الأخرى، حامض السالسيليك وحامض أو-أسيتيلساليسيليك، سكر كيميائي نقي ... إلخ,ظفار,صلالة,
طحن وتعبئة البهارات والتوابل,ظفار,صلالة,
صنع المنتجات الحرفية من الفضة,ظفار,صلالة,
صنع الأكياس بما فيها أكياس بولي ايثيلين وبلاستيك,ظفار,صلالة,
أنشطة أخرى خاصة بصنع معدات الإتصالات,ظفار,صلالة,
صنع ملابس الأطفال (ولادي، بناتي) الجاهزة (ملابس داخلية، ملابس خارجية ... إلخ),ظفار,صلالة,
سبك المعادن غير الحديدية مثل الألمنيوم والزنك والنحاس... إلخ (منتجات تامة ونصف تامة الصنع),ظفار,صلالة,
صنع خيوط معدنية أو نسيجية وصنع أقمشة مشربه أو مغطاة أو مطلية بمطاط أو لدائن وما شابهها,ظفار,صلالة,
صنع أصناف من الأسلاك مثل: سلك شائك، سياج، شبك ممدد ... إلخ,ظفار,صلالة,
صنع الصهاريج والخزانات والصوامع,ظفار,صلالة,
انتاج وتكرير الزيوت النباتية الأخرى,ظفار,صلالة,
طحن وتعبئة الحبوب (قمح، ذرة، شعير ... إلخ),ظفار,صلالة,
حفظ الأسماك والمنتجات السمكية والأحياء المائية الأخرى بواسطة التجفيف أو التدخين أو التمليح,ظفار,صلالة,
صنع رقائق البطاطس,ظفار,صلالة,
صنع أعلاف للحيوانات (الأعلاف المركزة، أعلاف الماشية),ظفار,صلالة,
صنع المنتجات الحرفية من الألمنيوم,ظفار,صلالة,
إصلاح وصيانة وصنع أجزاء وقطع مخصصة للآلات والمعدات المتعددة الأغراض,ظفار,صلالة,
صنع الصابون بجميع أشكاله (سائل، معجون، جاف)، والورق أو اللباد المغطى بالصابون وصنع الشامبوهات,ظفار,صلالة,
صنع الملابس النسائية والبناتية الجاهزة (ملابس داخلية، ملابس خارجية ... إلخ),ظفار,صلالة,
تحضير أو تعليب أو حفظ الفواكه وعصيرها,ظفار,صلالة,
صنع الحلويات العربية تشمل المعمول وخلافه,ظفار,صلالة,
صنع وتفصيل الكمة العمانية,ظفار,صلالة,
صنع الأنابيب والمواسير والخراطيم وسيور نقل الحركة ونقل المواد والسيور الأخرى، من المطاط,ظفار,صلالة,
صنع الأبواب والنوافذ الخشبية (سواء كانت تحتوي أو لا تحتوي على تجهيزات معدنية مثل المفصلات والأقفال .. إلخ),ظفار,صلالة,
تفصيل وخياطة الملابس الرياضية,ظفار,صلالة,
طباعة الإعلانات والملصقات والتقاويم الزمنية والكروت الشخصية وبطاقات الأفراح وأوراق اللعب ... إلخ,ظفار,صلالة,
صنع البسط والسجاد,ظفار,صلالة,
صنع آلات وأجهزة تنقية وترشيح السوائل أو الغازات، آلات ومعدات التقطير والتكرير، أجهزة الطرد المركزي، آلات لإسالة الغاز أو الهواء ... إلخ، وآلات قذف الرمال,ظفار,صلالة,
أنشطة أخرى خاصة بصنع الحديد القاعدي والصلب,ظفار,صلالة,
صنع زيوت التشحيم,ظفار,صلالة,
صنع المثلجات (الآيس كريم),ظفار,صلالة,
صنع الحلوى العمانية,ظفار,صلالة,
صهر ودرفلة وسحب وتنقية المعادن غير الحديدية الخام (عدا المعادن الثمينة) مثل النحاس، الرصاص، الزنك الكروم، القصدير، الألمنيوم ... إلخ وخلائط هذه المعادن,ظفار,صلالة,
صنع علب كرتون، صناديق، شنط مطوية أو مفردة من الورق أو من الورق المقوى (غير مموج),ظفار,صلالة,
صنع الأغطية المعدنية لغرف تفتيش الصرف الصحي,ظفار,صلالة,
صنع الأنابيب البلاستيكية,ظفار,صلالة,
صنع صلصة الطماطم,ظفار,صلالة,
صنع الورق والورق المقوى (الكرتون) المموج,ظفار,صلالة,
صنع الجاتوه والبيتفور والكعك بأنواعه,ظفار,صلالة,
صنع الكاكاو على شكل عجينه أو ألواح أو مسحوق أو زبدة أو دهن أو زيت الكاكاو,ظفار,صلالة,
صنع المستحضرات العطرية للإستخدام الشخصي مثل: العطورات أو ماء الكولونيا أو التواليت,ظفار,صلالة,
صنع آلات الرفع والمناولة المستخدمة في الموانئ، المصانع، المستودعات ... إلخ,ظفار,صلالة,
